State,Count,Area,Estimated Total Cost of Replacement,Estimated Total Cost of Rehab,State_Abbreviation
Alabama,689,2657411,313267151,213021663,AL
Alaska,155,636541,233630713,158868885,AK
Arizona,150,1027120,139182874,94644354,AZ
Arkansas,588,3376602,492474345,334882555,AR
California,1812,21542202,7099847998,4827896639,CA
Colorado,473,2231025,322722695,219451433,CO
Connecticut,308,4386812,1628105128,1107111487,CT
Delaware,34,629274,135860277,92384988,DE
Florida,328,3017041,398746522,271147635,FL
Georgia,494,2538858,391998658,266559088,GA
Hawaii,78,307649,342829045,233123751,HI
Idaho,315,913236,176737154,120181264,ID
Illinois,2273,16118259,2935723136,1996291732,IL
Indiana,1203,3504268,1167749274,794069506,IN
Iowa,4675,9565246,1004526677,683078140,IA
Kansas,1288,2628352,276648105,188120711,KS
Kentucky,1016,3342895,518705874,352719994,KY
Louisiana,1678,14894001,2245016887,1526611483,LA
Maine,325,1127420,262820126,178717686,ME
Maryland,274,1880612,622296031,423161301,MD
Massachusetts,481,5209607,2204702468,1499197678,MA
Michigan,1196,6451181,1429260707,971897281,MI
Minnesota,668,2693521,422878634,287557471,MN
Mississippi,1603,4480683,349821773,237878806,MS
Missouri,2116,9789482,1033053338,702476270,MO
Montana,390,1735957,253792259,172578736,MT
Nebraska,1358,2411579,395548020,268972653,NE
Nevada,27,148863,43318457,29456551,NV
New Hampshire,224,1004101,298465802,202956745,NH
New Jersey,544,5325612,2409253874,1638292634,NJ
New Mexico,232,1080857,217033444,147582742,NM
New York,1757,14293079,4140484321,2815529338,NY
North Carolina,1871,9793418,1172874679,797554781,NC
North Dakota,469,730163,123601465,84048996,ND
Ohio,1518,5187083,942085939,640618438,OH
Oklahoma,2540,5837152,608187459,413567472,OK
Oregon,422,2019150,398379941,270898360,OR
Pennsylvania,3770,12598366,3932224692,2673912791,PA
Rhode Island,180,2041850,827932032,562993782,RI
South Carolina,795,4888612,634447677,431424420,SC
South Dakota,973,1548423,253443555,172341617,SD
Tennessee,871,4382478,450973205,306661779,TN
Texas,695,5402516,432036191,293784610,TX
Utah,66,153025,29775942,20247641,UT
Vermont,66,302397,95455288,64909596,VT
Virginia,646,4506452,1194394146,812188019,VA
Washington,382,5805796,1262699015,858635330,WA
West Virginia,1444,5733238,1035833848,704367016,WV
Wisconsin,1054,3170140,380797655,258942405,WI
Wyoming,257,1305140,185724014,126292329,WY
Puerto Rico,273,2106691,402994075,274035971,PR
