State,SouthBoundary,NorthBoundary,EastBoundary,WestBoundary,State_Abbreviation
Alabama,30.21666667,35,-84.85,-88.46666667,AL
Alaska,54.66666667,71.83333333,-130,-180,AK
Arizona,31.33333333,37,-109.05,-114.8333333,AZ
Arkansas,33,36.5,-89.68333333,-94.7,AR
California,32.5,42,-114.1333333,-124.4,CA
Colorado,37,41,-102,-109,CO
Connecticut,40.96666667,42.05,-71.78333333,-73.73333333,CT
Delaware,38.45,39.83333333,-75.03333333,-75.78333333,DE
Florida,24.5,31,-79.8,-87.63333333,FL
Georgia,30,35,-81,-85,GA
Hawaii,16.91666667,23,-154.6666667,-162,HI
Idaho,42,49,-111,-117,ID
Illinois,36.96666667,42.5,-87.5,-91.5,IL
Indiana,37.78333333,41.76666667,-84.81666667,-88.06666667,IN
Iowa,40.6,43.5,-89.08333333,-96.51666667,IA
Kansas,37,40,-94.63333333,-102.0261111,KS
Kentucky,36.5,39.15,-81.96666667,-89.56666667,KY
Louisiana,29,33,-89,-94,LA
Maine,43.06666667,47.46666667,-66.95,-71.11666667,ME
Maryland,37.88333333,39.71666667,-75.06666667,-79.55,MD
Massachusetts,41.16666667,42.88333333,-69.95,-73.5,MA
Michigan,41.68333333,48.25,-82.43333333,-90.51666667,MI
Minnesota,43.56666667,49.38333333,-89.56666667,-97.2,MN
Mississippi,30.21666667,35,-88.11666667,-91.68333333,MS
Missouri,36,40.58333333,-89.1,-95.7,MO
Montana,44.43333333,49,-104.0333333,-116.0333333,MT
Nebraska,40,43,-95.41666667,-104,NE
Nevada,35,42,-114,-120,NV
New Hampshire,42.66666667,45.3,-70.61666667,-72,NH
New Jersey,38.91666667,41.35638889,-73.89416667,-75.58333333,NJ
New Mexico,31.33333333,37,-103,-109,NM
New York,40.49444444,45.01166667,-71.79027778,-79.765,NY
North Carolina,34,36.35,-75.5,-84.25,NC
North Dakota,45.91666667,49,-97,-104,ND
Ohio,38.45,41.96666667,-80.53333333,-84.81666667,OH
Oklahoma,33.58333333,37,-94.48333333,-103,OK
Oregon,42,46.25,-116.75,-124.5,OR
Pennsylvania,39.71666667,42,-74.71666667,-80.51666667,PA
Rhode Island,41.3,42.01666667,-71.13333333,-71.88333333,RI
South Carolina,32.075,35.2,-78.00833333,-83.33333333,SC
South Dakota,42.49166667,45.93333333,-97.47583333,-104.05,SD
Tennessee,35,36.68333333,-81.61666667,-90.46666667,TN
Texas,25.83333333,36.5,-93.51666667,-106.6333333,TX
Utah,37,42,-109,-114,UT
Vermont,42.73333333,45.01194444,-71.46666667,-73.43333333,VT
Virginia,36.51666667,39.61666667,-75.21666667,-83.61666667,VA
Washington,45.53333333,49,-116.95,-124.8,WA
West Virginia,37.16666667,40.66666667,-77.66666667,-82.66666667,WV
Wisconsin,42.5,47.05,-86.81666667,-92.9,WI
Wyoming,41,45,-104.05,-111.05,WY
